"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,124074720,63,1,,137673719
2020,124068160,4,200,,137683868
2020,124068160,16,25,,137683869
2020,124068162,63,15,,137683871
2020,124068161,63,15,26-JAN-20,137683870
2020,126101437,10,,,140034558
2020,126101427,20,330,,140034544
2020,126101433,9,0,,140034552
2020,126101437,11,10,,140034557
2020,126101443,6,200,,140034563
2020,126101443,63,80,,140034564
2020,126101443,7,537,,140034562
2020,126101459,63,225,,140034575
2020,126101461,38,1000,,140034577
2020,126101467,38,375,,140034582
2020,122826742,63,20,,135939913
2020,122826628,10,,,135939783
2020,122826743,38,288,,135939914
2020,122826744,10,,,135939915
2020,122826745,4,90,,135939916
2020,122826742,21,22,,135939911
2020,122826742,25,20,,135939912
2020,122826742,23,350,,135939910
2020,122826741,23,350,17-JAN-20,135939909
2020,126101419,23,800,,140034528
2020,126101421,21,160,,140034535
2020,126101401,19,48,,140030071
2020,126101419,25,25,,140034530
2020,126101419,21,300,,140034529
2020,126101419,63,1,,140034531
2020,126101414,38,150,,140034521
2020,126101396,23,1000,,140034497
2020,126101406,10,,,140034513
2020,126101407,20,20,,140034514
2020,126101413,4,120,,140034520
2020,126101412,16,5,,140034519
2020,126101398,38,863,,140034500
2020,126101489,38,400,,140034610
2020,126101436,33,1000,,140034556
2020,126101438,38,500,,140034559
2020,126101450,26,200,,140034568
2020,126101493,8,8,19-MAR-20,140034617
2020,126101494,8,8,,140034618
2020,126101501,4,400,,140034624
2020,126101501,16,25,,140034625
2020,126101501,38,20,,140034626
2020,126101463,63,1500,,140034578
2020,126101466,26,159,,140034581
2020,126101469,19,2,,140034585
2020,126101469,63,1,,140034586
2020,126101469,9,0,,140034587
2020,126101469,25,10,,140034584
2020,126101484,23,1600,,140034605
2020,126101483,63,1,,140034604
2020,126101477,21,40,21-APR-20,140034596
2020,126101418,19,150,,140034526
2020,126101418,63,1,,140034527
2020,126101418,25,250,,140034525
2020,126101470,10,,,140034588
2020,126101478,21,40,,140034598
2020,126101478,25,50,,140034597
2020,126101481,31,500,,140034602
2020,126101485,38,200,,140034606
2020,126101486,63,500,,140034607
2020,126101487,10,,,140034608
2020,126101488,23,1000,,140034609
2020,126101495,16,10,,140034619
2020,126101496,4,200,,140034620
2020,126101506,23,500,05-MAR-20,140034631
2020,126101507,23,500,,140034632
2020,126101510,7,463,24-FEB-20,140034634
2020,126101511,7,463,,140034635
2020,130115654,38,300,,145116368
2020,126101519,38,100,,140034644
2020,126101516,9,0,,140034641
2020,126101516,63,1,,140034642
2020,126101516,25,15,,140034640
2020,126101524,63,50,,140034655
2020,126101525,38,1300,,140034656
2020,126101537,63,15,,140034675
2020,126101537,25,5,,140034676
2020,126101537,6,1,,140034677
2020,126101537,21,600,,140034674
2020,126101535,26,45,,140034671
2020,126101536,6,1,06-APR-20,140034673
2020,126101536,63,1,06-APR-20,140034672
2020,126101538,16,350,,140034678
2020,126101540,26,240,,140034679
2020,126101542,38,250,,140034681
2020,126101544,6,200,,140034683
2020,126101543,16,100,,140034682
2020,126101458,38,200,,140034574
2020,126101460,38,250,,140034576
2020,126101465,20,80,,140034580
2020,126101464,20,80,20-APR-20,140034579
2020,126101468,63,1000,,140034583
2020,126101473,23,1000,,140034590
2020,126101480,7,750,,140034601
2020,126101480,24,41755,,140034600
2020,126101479,24,41755,18-APR-20,140034599
2020,126101490,38,2400,,140034611
2020,126101491,47,0,,140034615
2020,126101491,25,62,,140034612
2020,126101491,21,6,,140034614
2020,126101491,63,45,,140034613
2020,126101492,38,10000,,140034616
2020,126101497,26,150,,140034621
2020,126101545,63,1000,,140034684
2020,126101546,38,200,,140034685
2020,126101411,19,2,,140034518
2020,126101417,63,5,,140034524
2020,126101416,38,500,,140034523
2020,126101424,21,100,,140034538
2020,126101451,23,1000,13-MAR-20,140034569
2020,126101452,23,1000,,140034570
2020,126101455,21,80,,140034572
2020,126101455,25,50,,140034573
2020,126101527,23,600,10-APR-20,140034658
2020,126101527,63,180,10-APR-20,140034659
2020,126101528,23,600,,140034660
2020,126101528,63,180,,140034661
2020,126101530,21,12,,140034663
2020,126101530,19,3,,140034664
2020,126101529,21,12,13-APR-20,140034662
2020,126101532,38,3000,,140034665
2020,126101534,63,3750,,140034670
2020,126101499,23,1000,,140034622
2020,126101500,23,500,,140034623
2020,126101502,38,200,,140034627
2020,126101504,23,800,06-MAR-20,140034629
2020,126101505,23,800,,140034630
2020,126101512,38,2426,,140034636
2020,126101513,38,863,,140034637
2020,126101428,23,900,,140034545
2020,126101453,63,200,,140034571
2020,126101422,38,500,,140034536
2020,126101423,63,5,,140034537
2020,126101428,25,20,,140034546
2020,126101431,10,,,140034549
2020,126101432,9,0,,140034551
2020,126101439,23,1,,140034560
2020,126101446,23,100,22-MAR-20,140034565
2020,126101447,23,100,,140034566
2020,126101448,63,5,,140034567
2020,130113230,4,200,,145121251
2020,130115542,38,225,,145116212
2020,130115582,25,10,20-MAR-20,145116268
2020,130115614,63,500,,145116307
2020,130115626,4,149,,145116321
2020,130115626,16,20,,145116322
2020,130113230,16,35,,145121252
2020,130113190,36,5,,145116220
2020,130113210,23,100,,145116270
2020,130113210,25,10,,145121226
2020,130115625,26,150,,145116320
2020,130115630,38,315,,145116325
2020,130115552,63,45,,145116230
2020,130115552,26,200,,145116229
2020,130115552,23,1000,,145116228
2020,130113198,3,2000,12-JUN-20,145121209
2020,130115559,3,2000,,145121210
2020,130115617,63,2,,145121260
2020,130115605,21,154,,145116297
2020,132419874,63,300,,147975799
2020,130115617,9,0,,145116310
2020,130115617,25,20,,145121259
2020,130115617,21,40,,145121258
2020,132418780,63,80,,147975852
2020,132418780,21,200,,147975850
2020,132418780,25,80,,147975851
2020,130115621,63,45,,145116318
2020,130115621,4,150,,145116317
2020,130113248,38,546,,145121274
2020,130113214,10,,,145121233
2020,130115647,38,1550,,145116352
2020,130115647,16,2000,,145121272
2020,124073630,38,500,,137680695
2020,124068163,7,1200,25-FEB-20,137683873
2020,124068163,23,1200,25-FEB-20,137683874
2020,122826694,21,8,,135939852
2020,122826696,13,50,,135939853
2020,124073640,10,,,137680702
2020,125636367,23,800,,139581209
2020,125636390,16,3,,139581250
2020,125636390,36,50,,139581248
2020,125636390,20,10,,139581249
2020,125636385,23,150,,139581238
2020,125636367,26,1000,,139581207
2020,122826750,10,,,135939921
2020,127059219,4,150,,141275980
2020,127059218,16,5,,141265935
2020,125639852,38,500,,139582674
2020,125639855,10,,,139582677
2020,125639855,21,350,,139582676
2020,125639854,38,600,,139582675
2020,122826759,63,9300,,135939926
2020,122826760,38,250,,135939927
2020,122826761,36,405,,135939928
2020,122826751,38,288,,135939922
2020,122826755,10,,,135939923
2020,122826757,38,500,,135939924
2020,124073638,23,650,,137683872
2020,124073637,38,200,,137680700
2020,124073645,9,0,,137680709
2020,124073645,63,1,,137680710
2020,124073645,23,1000,,137680708
2020,124068169,10,,,137683887
2020,124068170,10,,,137683888
2020,124068173,10,,,137683894
2020,124068175,63,1,,137683897
2020,124068175,25,50,,137683896
2020,124068177,24,4000,,137683899
2020,124068181,10,,,137683902
2020,124068183,23,1500,,137683904
2020,124068182,23,1500,20-FEB-20,137683903
2020,124068187,38,1350,,137683910
2020,124068188,63,5,,137683911
2020,133319643,63,1000,,149122463
2020,133319702,38,600,,149122549
2020,133317907,63,83,,149116355
2020,133317947,38,1000,,149116402
2020,122826649,10,,,135939806
2020,122826654,10,,,135939811
2020,122826663,10,,,135939822
2020,122826665,38,200,,135939824
2020,122826667,63,1,,135939826
2020,122826666,63,1,23-JAN-20,135939825
2020,122826668,10,,,135939827
2020,122826698,16,710,,135939855
2020,122826698,25,180,,135939856
2020,122826699,10,,,135939858
2020,122826699,13,1,,135939857
2020,122826702,10,,,135939861
2020,122826703,10,,,135939862
2020,125636378,63,200,,139581223
2020,129373279,63,215,,144192144
2020,129373249,23,70,,144192111
2020,129373249,20,20,,144192112
2020,129373229,38,300,,144194057
2020,129373248,23,70,09-JUN-20,144192110
2020,129377017,63,750,,144194107
2020,129373235,38,3215,,144192093
2020,129373262,38,2000,,144192123
2020,129376997,38,200,,144194081
2020,130115613,16,20,,145121250
2020,131114635,4,700,14-SEP-20,146389609
2020,131114638,4,350,,146389613
2020,130115613,63,100,,145121249
2020,130115613,4,700,,145121248
2020,131119639,16,10,,146385189
2020,130115632,63,3415,,145116330
2020,131119637,38,500,,146385188
2020,129373258,21,285,,144192121
2020,129373266,63,857,,144192126
2020,129376973,25,20,,144194054
2020,129376973,19,10,,144194055
2020,129376990,38,300,,144194073
2020,129373265,38,40,,144192125
2020,129373224,38,600,,144192080
2020,129373243,38,225,,144192101
2020,129373254,38,500,,144192117
2020,129373268,8,50,,144192128
2020,129377009,63,500,,144194097
2020,129373271,3,3000,11-JUL-20,144192132
2020,129373272,3,3000,,144192133
2020,129373247,8,1,,144192107
2020,129373236,63,400,,144192094
2020,129373238,16,5,,144192096
2020,129373237,16,5,06-JUL-20,144192095
2020,129373247,10,,,144192108
2020,129373270,38,500,,144192131
2020,129373292,63,1200,,144192158
2020,129373282,38,125,,144192147
2020,129373293,26,100,,144192161
2020,129373293,6,1200,,144192159
2020,129373293,23,400,,144192160
2020,129373267,63,1300,,144192127
2020,130113246,38,225,,145121270
2020,129377018,38,284,,144194108
2020,129373257,4,480,,144192119
2020,129373257,16,20,,144192120
2020,129373284,4,200,,144192148
2020,130113216,63,2,,145121236
2020,130115563,23,300,,145116243
2020,130115562,23,300,25-FEB-20,145121215
2020,130115629,38,700,,145116324
2020,130115634,24,20000,09-JUL-20,145116334
2020,130115635,24,20000,,145116336
2020,130113249,63,200,,145121275
2020,130115655,21,20,,145116369
2020,129373290,4,1000,,144192154
2020,129373290,16,20,,144192155
2020,129373281,38,138,,144192146
2020,129377010,21,200,,144194098
2020,129373226,63,1,,144192082
2020,129373228,4,980,,144192085
2020,129377010,23,50,,144194099
2020,129373285,38,100,,144192149
2020,129373251,63,500,,144192114
2020,129373256,10,,,144194067
2020,130113217,10,,,145121237
2020,130115560,63,25,,145116235
2020,130113200,4,80,,145121211
2020,130113217,63,1,,145116291
2020,130113218,26,180,,145116296
2020,130115638,38,400,,145116339
2020,130115650,38,500,,145116361
2020,122826819,63,75,,135939988
2020,122826819,10,,,135939989
2020,122826822,10,,,135939990
2020,122826823,10,,,135939991
2020,122826824,23,800,,135939992
2020,122826825,6,140,01-JAN-20,135939993
2020,122826826,6,140,,135939994
2020,122826827,10,,,135939995
2020,122826829,10,,,135939996
2020,122826831,3,5000,09-JAN-20,135939997
2020,122826832,3,5000,,135939998
2020,127059666,21,136,17-MAY-20,141265889
2020,127059191,21,136,,141275951
2020,127059694,38,750,,141265923
2020,127059217,10,,,141265932
2020,127059677,38,160,,141265899
2020,127059687,38,25,,141265913
2020,127059208,63,200,,141265917
2020,127059683,25,50,,141265904
2020,127059661,10,,,141265880
2020,127059672,23,500,,141265896
2020,127059671,23,500,14-MAY-20,141265895
2020,127059683,9,0,,141265908
2020,127059683,23,50,,141265905
2020,127059683,63,1,,141265909
2020,127059683,21,20,,141265907
2020,127059224,23,800,,141265941
2020,129377011,23,200,,144194100
2020,129373234,38,650,,144192092
2020,129373277,38,100,,144192142
2020,129373278,63,5,,144192143
2020,129377019,16,1,,144194109
2020,125639856,10,,,139582678
2020,125639857,10,,,139582679
2020,125639858,10,,,139582680
2020,125639859,38,850,,139582681
2020,125639860,19,12,,139582684
2020,125639860,63,35,,139582683
2020,125639860,23,900,,139582682
2020,125639862,63,100,,139582685
2020,125639865,23,150,,139582695
2020,125639865,20,600,,139582694
2020,122826795,10,,,135939969
2020,122826798,26,150,,135939970
2020,122826800,10,,,135939971
2020,122826801,10,1,,135939972
2020,122826801,11,1,,135939973
2020,122826804,63,492,,135939976
2020,122826805,11,1,,135939977
2020,122826805,10,,,135939978
2020,122826806,63,150,,135939979
2020,122826807,63,636,,135939980
2020,122826810,23,1000,,135939983
2020,122826811,10,,,135939984
2020,122826732,4,250,10-JAN-20,135939897
2020,122826733,38,300,,135939898
2020,122826735,38,750,,135939900
2020,122826740,36,150,,135939908
2020,122826773,63,1,,135939942
2020,122826637,23,125,,135939795
2020,122826762,38,900,,135939929
2020,122826763,38,350,,135939930
2020,122826768,6,300,,135939933
2020,122826772,10,,,135939941
2020,122826774,10,,,135939943
2020,122826777,4,130,,135939946
2020,122826781,38,100,,135939951
2020,122826780,38,400,,135939950
2020,122826783,25,140,,135939957
2020,122826783,7,1100,,135939955
2020,122826783,23,800,,135939956
2020,122826783,21,60,,135939958
2020,122826782,23,800,11-JAN-20,135939953
2020,122826782,25,140,11-JAN-20,135939954
2020,122826782,7,1100,11-JAN-20,135939952
2020,122826784,63,260,,135939959
2020,122826786,36,500,,135939961
2020,122826785,38,250,,135939960
2020,122826787,10,,,135939962
2020,122826808,23,50,03-JAN-20,135939981
2020,122826809,23,50,,135939982
2020,122826814,10,,,135939985
2020,122826817,38,2500,,135939986
2020,122826818,63,30,,135939987
2020,122826671,10,,,135939830
2020,122826678,10,,,135939836
2020,122826679,10,,,135939837
2020,122826683,63,500,,135939840
2020,122826686,38,1000,,135939842
2020,122826688,10,,,135939843
2020,122826689,10,,,135939845
2020,129376984,38,800,,144192109
2020,129376993,38,450,,144194077
2020,129373261,63,50,,144194078
2020,124068204,9,0,,137683932
2020,129373227,63,1,,144192084
2020,129373239,23,700,,144192097
2020,129373250,42,50,,144192113
2020,124068202,23,500,,137683926
2020,124068203,10,,,137683927
2020,124068204,25,50,,137683930
2020,124068204,19,2,,137683931
2020,124068204,26,105,,137683929
2020,124068204,63,1,,137683933
2020,124068210,23,600,,137683941
2020,124068210,26,135,,137683942
2020,124068211,38,1274,,137683943
2020,124068212,23,800,,137683944
2020,124068213,63,120,,137683945
2020,124068213,6,50,,137683946
2020,124068214,21,800,,137683947
2020,124068200,26,80,,137683923
2020,124068200,63,20,,137683924
2020,124068200,16,590,,137683921
2020,124068200,25,350,,137683922
2020,124068196,23,500,25-JAN-20,137683920
2020,124068198,38,64,,137680768
2020,124068194,16,100,,137683918
2020,124068195,63,20,,137683919
2020,124068197,11,1,,137680767
2020,124073776,4,700,05-FEB-20,137680846
2020,124073767,10,,,137680838
2020,124073768,10,,,137680839
2020,124073771,38,250,,137680842
2020,124073772,25,150,,137680843
2020,124073777,10,,,137680847
2020,124073778,10,,,137680848
2020,124073780,63,50,04-FEB-20,137680850
2020,124073781,63,50,,137680852
2020,124073781,23,250,,137680851
2020,124073787,10,,,137680853
2020,124073788,10,,,137680854
2020,124073791,10,,,137680855
2020,124073792,26,1000,,137680856
2020,124073794,23,750,,137680858
2020,124073793,23,750,04-FEB-20,137680857
2020,124073795,21,50,,137680859
2020,124073796,63,325,,137680860
2020,124073798,10,,,137680861
2020,124073800,10,,,137680862
2020,124073802,10,,,137680864
2020,124073804,23,250,,137680866
2020,124073805,10,,,137680867
2020,124073807,23,1500,,137680868
2020,124073808,4,1200,,137680869
2020,124073810,23,999,,137680871
2020,124073809,23,999,01-FEB-20,137680870
2020,124073812,63,5,01-FEB-20,137680873
2020,124073813,23,1000,,137680874
2020,124073813,63,5,,137680876
2020,124073813,17,100,,137680875
2020,124073814,10,,,137680877
2020,124073815,63,1,,137680881
2020,124073815,21,1,,137680879
2020,124073815,19,1,,137680880
2020,124073815,9,0,,137680882
2020,124073815,25,50,,137680878
2020,124073816,23,600,,137680883
2020,124073816,63,10,,137680884
2020,124073817,63,10000,,137680885
2020,122826600,23,1200,,135939742
2020,122833873,10,,,135949269
2020,122833879,63,15,,135949279
2020,122833879,4,650,,135949278
2020,122833831,10,,,135949221
2020,122833882,38,770,,135949284
2020,127059670,6,40,,141265893
2020,127059655,10,,,141265868
2020,127059670,51,0,,141265894
2020,127059670,63,5,,141275954
2020,127059681,10,,,141265903
2020,127059689,22,0,,141275965
2020,127059689,25,15,,141275964
2020,127059689,21,20,,141265914
2020,127059691,42,450,,141275972
2020,122833902,16,20,,135949308
2020,122833838,10,,,135949228
2020,122833883,10,,,135949285
2020,122833893,38,400,,135949293
2020,122833901,3,5000,15-JAN-20,135949305
2020,122833901,16,20,16-JAN-20,135949306
2020,122833902,3,5000,,135949307
2020,122833906,38,1300,,135949313
2020,122826684,63,50,,135939841
2020,122833916,26,180,,135949320
2020,122833916,23,1300,,135949319
2020,122833923,10,,,135949327
2020,125639808,63,165,,139582625
2020,122833917,10,,,135949322
2020,122833917,11,1,,135949321
2020,122833918,21,5,,135949324
2020,122833918,6,665,,135949323
2020,124073759,23,1300,,137680831
2020,124073760,10,,,137680832
2020,124073762,24,3000,,137680834
2020,124073764,10,,,137680836
2020,124073765,63,60,,137680837
2020,124073713,10,,,137680789
2020,124068205,10,,,137683934
2020,124073711,10,,,137680787
2020,124073712,10,,,137680788
2020,124073716,63,20,16-FEB-20,137680796
2020,124073717,23,300,,137680797
2020,124073717,25,50,,137680798
2020,124073717,63,20,,137680799
2020,124073724,10,,,137680804
2020,124073727,10,,,137680807
2020,124073688,10,,,137680766
2020,124073690,10,,,137680769
2020,124073696,23,650,,137680774
2020,124073695,23,650,21-FEB-20,137680773
2020,124073730,10,,,137680808
2020,124073733,38,50,,137680811
2020,124073732,38,50,12-FEB-20,137680810
2020,124073736,10,,,137680814
2020,124073737,33,300,,137680815
2020,124073743,23,1000,,137680821
2020,124073742,23,1000,12-FEB-20,137680820
2020,124073744,19,24,13-FEB-20,137680822
2020,124073747,23,400,,137680823
2020,124073751,10,,,137680827
2020,124073752,11,1,,137680828
2020,124073757,10,,,137680829
2020,127059693,8,25,,141265922
2020,127059665,23,850,,141265888
2020,127059693,63,40,,141275974
2020,127059693,21,40,,141265921
2020,127059209,63,40,30-APR-20,141265919
2020,129376998,63,153,,144194083
2020,129377012,16,5,,144194102
2020,129377012,4,800,,144194101
2020,130115545,10,,,145116217
2020,129373259,4,200,,144192122
2020,129373263,10,,,144194082
2020,129377001,38,170,,144194086
2020,130113215,4,160,,145116287
2020,130113215,16,18,,145121235
2020,130113222,38,500,,145121244
2020,130113224,38,700,,145121245
2020,124073649,10,,,137680713
2020,124073651,23,1000,,137680715
2020,124073654,7,1500,,137680719
2020,124073654,6,35,,137680720
2020,124073655,23,200,15-JAN-20,137680722
2020,124073655,7,1500,15-JAN-20,137680721
2020,124073656,16,175,,137680725
2020,124073656,7,1500,,137680723
2020,124073656,23,200,,137680724
2020,124073657,23,500,24-FEB-20,137680726
2020,124073658,23,500,,137680727
2020,124073659,38,64,,137680728
2020,124073626,10,,,137680691
2020,130113199,10,,,145116234
2020,124073634,38,250,,137680697
2020,130113203,63,20,,145121213
2020,130113203,10,,,145116240
2020,130113203,23,200,,145116236
2020,130113203,25,3,,145116239
2020,130113203,21,2019,,145121212
2020,130115564,38,6195,,145116242
2020,124073646,10,,,137680711
2020,124073647,23,150,,137680712
2020,124073650,10,,,137680714
2020,124073662,23,800,,137680731
2020,130115611,4,349,,145116302
2020,130115611,16,20,,145116303
2020,124073672,10,,,137680748
